# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0,0,0,2.7042,0,2.7079,0,0,0,0,0,0.14172,32.9,-106,9.7954,87,0,0,0,1254,117.96,0.18691,0.0087409,NaN,67.181,NaN,0.005918,130844,15.662,2.5989e-6,0.6175,2.1599e-4,0.46796,0.02953,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.0013725
2e-3,5.4083e-6,0.0054083,27.65,0.0054158,27.688,2.8344e-7,0,2.8344e-7,0,2.8344e-4,1.4491,32.9,-106,9.7954,86.846,0,0,0,1254,117.96,0.18691,0.0087409,NaN,67.181,NaN,0.0059135,130745,46.986,3.0111e-6,0.61759,2.5063e-4,0.46805,0.02953,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.6355e-7,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.0017246
4e-3,7.1527e-5,0.060711,52.599,0.060795,52.671,3.7486e-6,0,3.7486e-6,0,0.0031817,2.7566,32.9,-106,9.7954,85.272,0,0,0,1253.9,117.89,0.1869,0.0087409,NaN,67.18,NaN,0.0059193,130874,78.309,9.989e-6,0.61747,8.2979e-4,0.46794,0.02953,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.4487e-6,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.0020113
6e-3,2.9815e-4,0.16591,77.551,0.16614,77.657,1.5625e-5,0,1.5625e-5,0,0.0086952,4.0643,32.9,-106,9.7954,82.296,0,0,0,1253.8,117.82,0.1869,0.0087409,NaN,67.179,NaN,0.0059475,131497,109.63,4.2191e-5,0.61692,0.0034717,0.46739,0.02953,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0356e-5,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.0022433
8e-3,7.8509e-4,0.32102,95.196,0.32147,95.327,4.1145e-5,0,4.1145e-5,0,0.016824,4.989,32.9,-106,9.7954,77.982,0,0,0,1253.8,117.75,0.1869,0.0087408,NaN,67.178,NaN,0.0060205,133109,131.78,1.5588e-4,0.61551,0.012517,0.46597,0.02953,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9387e-5,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.0024701
0.01,0.0016175,0.51143,105.54,0.51214,105.68,8.4772e-5,0,8.4772e-5,0,0.026803,5.5311,32.9,-106,9.7954,72.866,0,0,0,1253.6,117.62,0.1869,0.0087408,NaN,67.177,NaN,0.0061564,136115,144.75,4.422e-4,0.61294,0.03396,0.46341,0.029531,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.2748e-5,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.0026896
0.012,0.0028515,0.72254,115.89,0.72353,116.05,1.4944e-4,0,1.4944e-4,0,0.037867,6.0735,32.9,-106,9.7954,67.498,0,0,0,1253.4,117.43,0.18689,0.0087408,NaN,67.174,NaN,0.0063622,140664,157.72,9.9193e-4,0.6092,0.071329,0.45966,0.029531,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8649e-5,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.0029101
0.014,0.0045284,0.95435,126.24,0.95566,126.42,2.3732e-4,0,2.3732e-4,0,0.050015,6.6161,32.9,-106,9.7954,62.042,0,0,0,1253.2,117.24,0.18688,0.0087408,NaN,67.172,NaN,0.0066484,146992,170.69,0.0019106,0.60426,0.12581,0.45472,0.029531,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1709e-4,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.0031269
0.016,0.0066896,1.2069,136.6,1.2085,136.79,3.5059e-4,0,3.5059e-4,0,0.063249,7.1589,32.9,-106,9.7954,56.659,0,0,0,1253,117.05,0.18688,0.0087408,NaN,67.17,NaN,0.007023,155274,183.66,0.0033017,0.59821,0.19485,0.44867,0.029532,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4807e-4,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.0033496
0.018,0.0093766,1.4801,146.96,1.4821,147.16,4.9141e-4,0,4.9141e-4,0,0.077569,7.7018,32.9,-106,9.7954,51.492,0,0,0,1252.9,116.86,0.18687,0.0087408,NaN,67.167,NaN,0.0074908,165618,196.63,0.0052581,0.59126,0.27275,0.44172,0.029533,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8159e-4,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.0041624
0.02,0.012631,1.7741,155.72,1.7765,155.93,6.6195e-4,0,6.6195e-4,0,0.092975,8.1607,32.9,-106,9.7954,46.647,0,0,0,1252.7,116.67,0.18687,0.0087407,NaN,67.165,NaN,0.008054,178069,207.59,0.0078564,0.58363,0.35253,0.43408,0.029534,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1766e-4,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.004885
0.022,0.01649,2.0855,154.84,2.0884,155.05,8.6422e-4,0,8.6422e-4,0,0.1093,8.1148,32.9,-106,9.7954,42.232,0,0,0,1252.5,116.47,0.18686,0.0087407,NaN,67.162,NaN,0.0087051,192466,206.46,0.011119,0.57566,0.4271,0.42612,0.029536,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5587e-4,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.0053986
0.024,0.020971,2.3953,152.36,2.3985,152.57,0.001099,0,0.001099,0,0.12553,7.9849,32.9,-106,9.7954,38.47,0,0,0,1252.3,116.26,0.18686,0.0087407,NaN,67.16,NaN,0.0093966,207754,203.32,0.014831,0.56805,0.48892,0.4185,0.029538,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9387e-4,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.0065492
0.026,0.026066,2.7,149.88,2.7037,150.09,0.0013661,0,0.0013661,0,0.1415,7.8549,32.9,-106,9.7954,35.283,0,0,0,1252.1,116.05,0.18685,0.0087407,NaN,67.157,NaN,0.010111,223550,200.18,0.01889,0.56094,0.53781,0.41138,0.02954,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3127e-4,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.0081423
0.028,0.031766,2.9998,147.4,3.0039,147.6,0.0016648,0,0.0016648,0,0.15721,7.7248,32.9,-106,9.7954,32.566,0,0,0,1251.8,115.84,0.18684,0.0087406,NaN,67.155,NaN,0.01084,239673,197.04,0.023233,0.55435,0.57548,0.40479,0.029542,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6805e-4,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.009085
0.03,0.038061,3.2947,144.92,3.2992,145.11,0.0019947,0,0.0019947,0,0.17267,7.5947,32.9,-106,9.7954,30.232,0,0,0,1251.6,115.63,0.18684,0.0087406,NaN,67.152,NaN,0.011578,255987,193.9,0.027812,0.54826,0.60388,0.3987,0.029544,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0422e-4,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.0096287
0.032,0.04494,3.5845,142.43,3.5894,142.63,0.0023552,0,0.0023552,0,0.18786,7.4645,32.9,-106,9.7954,28.213,0,0,0,1251.4,115.42,0.18683,0.0087406,NaN,67.149,NaN,0.01232,272390,190.76,0.032584,0.54264,0.62485,0.39308,0.029546,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3979e-4,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.010108
0.034,0.052394,3.8694,139.95,3.8747,140.14,0.0027458,0,0.0027458,0,0.20279,7.3343,32.9,-106,9.7954,26.453,0,0,0,1251.2,115.21,0.18683,0.0087406,NaN,67.147,NaN,0.013062,288803,187.62,0.037514,0.53746,0.63995,0.38789,0.029549,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.7474e-4,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.010826
0.036,0.060413,4.1494,137.46,4.1551,137.65,0.0031661,0,0.0031661,0,0.21746,7.2041,32.9,-106,9.7954,24.91,0,0,0,1251,115,0.18682,0.0087406,NaN,67.144,NaN,0.013803,305166,184.48,0.042573,0.53267,0.65045,0.3831,0.029552,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0909e-4,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.011274
0.038,0.068986,4.4243,134.98,4.4304,135.16,0.0036154,0,0.0036154,0,0.23187,7.0737,32.9,-106,9.7954,23.548,0,0,0,1250.8,114.79,0.18681,0.0087405,NaN,67.141,NaN,0.014538,321431,181.34,0.047737,0.52824,0.6574,0.37866,0.029555,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4282e-4,7.874,48.695,87,0,NaN,14.675,1007.4,340.19,2e-3,0.011606
0.04,0.078105,4.6943,132.49,4.7007,132.67,0.0040933,0,0.0040933,0,0.24602,6.9434,32.9,-106,9.7954,22.338,0,0,0,1250.6,114.58,0.18681,0.0087405,NaN,67.139,NaN,0.015268,337561,178.2,0.052984,0.52414,0.66159,0.37455,0.029558,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.7595e-4,7.874,48.695,87,0,NaN,14.674,1007.4,340.19,2e-3,0.011956
0.042,0.087759,4.9593,130,4.9661,130.18,0.0045992,0,0.0045992,0,0.25991,6.813,32.9,-106,9.7954,21.258,0,0,0,1250.4,114.36,0.1868,0.0087405,NaN,67.136,NaN,0.01599,353525,175.06,0.058296,0.52033,0.66366,0.37073,0.029561,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0846e-4,7.874,48.695,87,0,NaN,14.674,1007.4,340.19,2e-3,0.012419
0.044,0.097937,5.2194,127.51,5.2265,127.69,0.0051327,0,0.0051327,0,0.27353,6.6825,32.9,-106,9.7954,20.29,0,0,0,1250.2,114.15,0.18679,0.0087405,NaN,67.133,NaN,0.016703,369300,171.92,0.063657,0.51678,0.66411,0.36718,0.029564,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.4036e-4,7.874,48.695,87,0,NaN,14.674,1007.4,340.19,2e-3,0.013218
0.046,0.10863,5.4744,125.02,5.4819,125.19,0.0056931,0,0.0056931,0,0.2869,6.552,32.9,-106,9.7954,19.416,0,0,0,1249.9,113.94,0.18679,0.0087404,NaN,67.131,NaN,0.017408,384867,168.78,0.069054,0.51347,0.66331,0.36386,0.029568,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.7166e-4,7.874,48.695,87,0,NaN,14.674,1007.4,340.19,2e-3,0.013658
0.048,0.11983,5.7245,122.53,5.7323,122.7,0.00628,0,0.00628,0,0.30001,6.4215,32.9,-106,9.7954,18.626,0,0,0,1249.7,113.73,0.18678,0.0087404,NaN,67.128,NaN,0.018101,400209,165.64,0.074474,0.51038,0.66157,0.36076,0.029571,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.0234e-4,7.874,48.695,87,0,NaN,14.674,1007.4,340.19,2e-3,0.014083
0.05,0.13152,5.9696,120.04,5.9778,120.2,0.0068929,0,0.0068929,0,0.31285,6.2909,32.9,-106,9.7954,17.908,0,0,0,1249.5,113.52,0.18678,0.0087404,NaN,67.125,NaN,0.018785,415312,162.5,0.079904,0.50749,0.65913,0.35786,0.029574,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.3241e-4,7.874,48.695,87,0,NaN,14.674,1007.4,340.19,2e-3,0.014499
0.052,0.1437,6.2097,119.11,6.2182,119.28,0.0075312,0,0.0075312,0,0.32544,6.2425,32.9,-106,9.7954,17.221,0,0,0,1249.3,113.31,0.18677,0.0087404,NaN,67.123,NaN,0.019452,430078,161.32,0.085305,0.50479,0.65619,0.35516,0.029578,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.6187e-4,7.874,48.695,87,0,NaN,14.674,1007.4,340.19,2e-3,0.015155
0.054,0.15636,6.4479,119.76,6.4568,119.92,0.0081945,0,0.0081945,0,0.33792,6.2762,32.9,-106,9.7954,16.585,0,0,0,1249.1,113.1,0.18676,0.0087404,NaN,67.12,NaN,0.020118,444787,162.1,0.090744,0.50222,0.65263,0.35259,0.029582,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.911e-4,7.874,48.695,87,0,NaN,14.674,1007.4,340.19,2e-3,0.015641
0.056,0.1695,6.6875,120.4,6.6967,120.56,0.0088829,0,0.0088829,0,0.35048,6.3098,32.9,-106,9.7954,15.986,0,0,0,1248.9,112.91,0.18676,0.0087403,NaN,67.118,NaN,0.020789,459626,162.89,0.096234,0.49975,0.64814,0.35011,0.029586,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.2049e-4,7.874,48.695,87,0,NaN,14.674,1007.4,340.19,2e-3,0.016388
0.058,0.18311,6.9283,121.04,6.9378,121.21,0.0095965,0,0.0095965,0,0.3631,6.3435,32.9,-106,9.7954,15.422,0,0,0,1248.7,112.71,0.18675,0.0087403,NaN,67.115,NaN,0.021466,474594,163.67,0.10178,0.49736,0.64295,0.34771,0.02959,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.5004e-4,7.874,48.695,87,0,NaN,14.674,1007.4,340.19,2e-3,0.017123
0.06,0.19721,7.1704,121.68,7.1803,121.85,0.010335,0,0.010335,0,0.37579,6.3772,32.9,-106,9.7954,14.891,0,0,0,1248.5,112.51,0.18675,0.0087403,NaN,67.112,NaN,0.022149,489686,164.45,0.1074,0.49504,0.63726,0.34539,0.029594,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.7974e-4,7.874,48.695,87,0,NaN,14.674,1007.4,340.19,2e-3,0.017547
0.062,0.21179,7.4138,122.33,7.424,122.5,0.0111,0,0.0111,0,0.38854,6.4109,32.9,-106,9.7954,14.388,0,0,0,1248.3,112.31,0.18674,0.0087403,NaN,67.11,NaN,0.022837,504898,165.24,0.1131,0.49281,0.63125,0.34314,0.029598,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.096e-4,7.874,48.695,87,0,NaN,14.674,1007.4,340.19,2e-3,0.017905
0.064,0.22687,7.6585,122.97,7.669,123.14,0.01189,0,0.01189,0,0.40137,6.4446,32.9,-106,9.7954,13.913,0,0,0,1248.1,112.11,0.18673,0.0087403,NaN,67.107,NaN,0.02353,520228,166.02,0.11889,0.49064,0.62503,0.34096,0.029602,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.3963e-4,7.874,48.695,87,0,NaN,14.674,1007.4,340.19,2e-3,0.018331
0.066,0.24243,7.9045,123.61,7.9153,123.78,0.012705,0,0.012705,0,0.41426,6.4783,32.9,-106,9.7954,13.463,0,0,0,1247.9,111.92,0.18673,0.0087402,NaN,67.105,NaN,0.024229,535673,166.8,0.12478,0.48854,0.61871,0.33886,0.029607,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.698e-4,7.874,48.695,87,0,NaN,14.673,1007.4,340.19,2e-3,0.018668
0.068,0.25849,8.1517,124.26,8.1629,124.43,0.013547,0,0.013547,0,0.42721,6.512,32.9,-106,9.7954,13.036,0,0,0,1247.7,111.72,0.18672,0.0087402,NaN,67.102,NaN,0.024932,551230,167.59,0.13077,0.48651,0.61236,0.33681,0.029612,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010001,7.874,48.695,87,0,NaN,14.673,1007.4,340.19,2e-3,0.019187
0.07,0.27504,8.4003,124.9,8.4118,125.07,0.014414,0,0.014414,0,0.44024,6.5458,32.9,-106,9.7954,12.631,0,0,0,1247.5,111.52,0.18672,0.0087402,NaN,67.1,NaN,0.025641,566899,168.37,0.13689,0.48453,0.60603,0.33483,0.029617,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010306,7.874,48.695,87,0,NaN,14.673,1007.4,340.19,2e-3,0.019654
0.072,0.29209,8.6501,125.54,8.662,125.72,0.015308,0,0.015308,0,0.45333,6.5795,32.9,-106,9.7954,12.246,0,0,0,1247.3,111.32,0.18671,0.0087402,NaN,67.097,NaN,0.026355,582675,169.15,0.14312,0.48262,0.59977,0.33291,0.029622,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010613,7.874,48.695,87,0,NaN,14.673,1007.4,340.19,2e-3,0.020462
0.074,0.30964,8.9012,126.19,8.9134,126.36,0.016228,0,0.016228,0,0.46649,6.6132,32.9,-106,9.7954,11.88,0,0,0,1247.1,111.12,0.18671,0.0087402,NaN,67.095,NaN,0.027073,598559,169.94,0.14948,0.48076,0.59362,0.33104,0.029627,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010921,7.874,48.695,87,0,NaN,14.673,1007.3,340.19,2e-3,0.021025
0.076,0.32769,9.1536,126.83,9.1662,127.01,0.017174,0,0.017174,0,0.47972,6.647,32.9,-106,9.7954,11.531,0,0,0,1246.9,110.93,0.1867,0.0087401,NaN,67.092,NaN,0.027796,614548,170.72,0.15597,0.47895,0.58759,0.32922,0.029633,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011231,7.874,48.695,87,0,NaN,14.673,1007.3,340.19,2e-3,0.021603
0.078,0.34626,9.4073,127.48,9.4202,127.65,0.018147,0,0.018147,0,0.49302,6.6807,32.9,-106,9.7954,11.198,0,0,0,1246.7,110.73,0.18669,0.0087401,NaN,67.09,NaN,0.028524,630641,171.5,0.1626,0.4772,0.58171,0.32745,0.029639,0.12011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011542,7.874,48.695,87,0,NaN,14.673,1007.3,340.19,2e-3,0.022177
0.08,0.36533,9.6623,128.12,9.6756,128.3,0.019146,0,0.019146,0,0.50638,6.7144,32.9,-106,9.7954,10.88,0,0,0,1246.5,110.53,0.18669,0.0087401,NaN,67.087,NaN,0.029257,646836,172.29,0.16938,0.47549,0.57599,0.32573,0.029645,0.12011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011855,7.874,48.695,87,0,NaN,14.673,1007.3,340.19,2e-3,0.022891
0.082,0.38491,9.9186,128.76,9.9322,128.94,0.020172,0,0.020172,0,0.51981,6.7482,32.9,-106,9.7954,10.577,0,0,0,1246.3,110.33,0.18668,0.0087401,NaN,67.085,NaN,0.029994,663132,173.07,0.1763,0.47382,0.57043,0.32405,0.029651,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012169,7.874,48.695,87,0,NaN,14.672,1007.3,340.19,2e-3,0.023396
0.084,0.405,10.176,129.41,10.19,129.58,0.021225,0,0.021225,0,0.53331,6.782,32.9,-106,9.7954,10.287,0,0,0,1246.1,110.13,0.18668,0.00874,NaN,67.082,NaN,0.030736,679529,173.85,0.18338,0.4722,0.56504,0.32242,0.029657,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012485,7.874,48.695,87,0,NaN,14.672,1007.3,340.19,2e-3,0.023847
0.086,0.42561,10.435,130.05,10.449,130.23,0.022305,0,0.022305,0,0.54687,6.8157,32.9,-106,9.7954,10.009,0,0,0,1245.9,109.94,0.18667,0.00874,NaN,67.08,NaN,0.031482,696024,174.64,0.19062,0.47062,0.55982,0.32083,0.029663,0.12013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012803,7.874,48.695,87,0,NaN,14.672,1007.3,340.19,2e-3,0.0242
0.088,0.44674,10.695,130.7,10.71,130.88,0.023413,0,0.023413,0,0.56051,6.8495,32.9,-106,9.7954,9.7435,0,0,0,1245.7,109.74,0.18666,0.00874,NaN,67.077,NaN,0.032233,712618,175.42,0.19801,0.46909,0.55478,0.31928,0.02967,0.12014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013122,7.874,48.695,87,0,NaN,14.672,1007.3,340.19,2e-3,0.024672
0.09,0.46839,10.957,131.34,10.972,131.52,0.024547,0,0.024547,0,0.57421,6.8832,32.9,-106,9.7954,9.4886,0,0,0,1245.5,109.54,0.18666,0.00874,NaN,67.075,NaN,0.032988,729309,176.2,0.20557,0.46759,0.5499,0.31777,0.029677,0.12014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013443,7.874,48.695,87,0,NaN,14.672,1007.3,340.19,2e-3,0.025178
0.092,0.49057,11.219,131.98,11.235,132.17,0.02571,0,0.02571,0,0.58798,6.917,32.9,-106,9.7954,9.2441,0,0,0,1245.3,109.34,0.18665,0.00874,NaN,67.072,NaN,0.033747,746096,176.99,0.21331,0.46612,0.5452,0.31629,0.029684,0.12015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013765,7.874,48.695,87,0,NaN,14.672,1007.3,340.19,2e-3,0.027101
0.094,0.51327,11.483,132.63,11.499,132.81,0.026899,0,0.026899,0,0.60181,6.9508,32.9,-106,9.7954,9.0094,0,0,0,1245.1,109.14,0.18665,0.0087399,NaN,67.07,NaN,0.034511,762979,177.77,0.22121,0.46469,0.54066,0.31485,0.029691,0.12015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014089,7.874,48.695,87,0,NaN,14.672,1007.3,340.19,2e-3,0.027757
0.096,0.5365,11.749,133.27,11.765,133.46,0.028117,0,0.028117,0,0.61571,6.9845,32.9,-106,9.7954,8.7839,0,0,0,1244.9,108.95,0.18664,0.0087399,NaN,67.067,NaN,0.035279,779958,178.55,0.22982,0.46437,0.53752,0.31451,0.029699,0.12016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014414,7.874,48.695,87,0,NaN,14.672,1007.3,340.19,2e-3,0.028449
0.098,0.56027,12.015,133.92,12.032,134.1,0.029362,0,0.029362,0,0.62969,7.0183,32.9,-106,9.7954,8.5671,0,0,0,1244.7,108.75,0.18663,0.0087399,NaN,67.065,NaN,0.036051,797030,179.34,0.23881,0.46439,0.53487,0.31451,0.029706,0.12017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014741,7.874,48.695,87,0,NaN,14.671,1007.3,340.19,2e-3,0.029049
0.1,0.58457,12.283,134.56,12.3,134.75,0.030636,0,0.030636,0,0.64372,7.0521,32.9,-106,9.7954,8.3586,0,0,0,1244.6,108.55,0.18663,0.0087399,NaN,67.062,NaN,0.036828,814197,180.12,0.24802,0.4644,0.53232,0.31451,0.029714,0.12018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001507,7.874,48.695,87,0,NaN,14.671,1007.3,340.19,2e-3,0.029633
0.102,0.6094,12.552,135.21,12.569,135.39,0.031937,0,0.031937,0,0.65783,7.0858,32.9,-106,9.7954,8.192,0,0,0,1244.4,108.35,0.18662,0.0087399,NaN,67.06,NaN,0.037613,831554,180.9,0.25773,0.46441,0.53029,0.31451,0.029722,0.12018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00154,7.874,48.695,87,0,NaN,14.671,1007.3,340.19,2e-3,0.030134
0.104,0.63478,12.823,135.85,12.84,136.04,0.033267,0,0.033267,0,0.672,7.1195,32.9,-106,9.7954,8.0314,0,0,0,1244.2,108.15,0.18662,0.0087398,NaN,67.057,NaN,0.038402,849001,181.69,0.26767,0.46443,0.52834,0.31451,0.029731,0.12019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0015732,7.874,48.695,87,0,NaN,14.671,1007.3,340.19,2e-3,0.034581
0.106,0.66069,13.094,136.49,13.112,136.68,0.034625,0,0.034625,0,0.68624,7.1533,32.9,-106,9.7954,7.8766,0,0,0,1244,107.96,0.18661,0.0087398,NaN,67.055,NaN,0.039195,866538,182.47,0.27785,0.46444,0.52646,0.3145,0.029739,0.1202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0016065,7.874,48.695,87,0,NaN,14.671,1007.3,340.19,2e-3,0.035108
0.108,0.68715,13.367,137.14,13.386,137.32,0.036012,0,0.036012,0,0.70055,7.187,32.9,-106,9.7954,7.7272,0,0,0,1243.8,107.76,0.18661,0.0087398,NaN,67.052,NaN,0.039993,884163,183.25,0.28827,0.46446,0.52465,0.3145,0.029748,0.12021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00164,7.874,48.695,87,0,NaN,14.671,1007.3,340.19,2e-3,0.036176
0.11,0.71416,13.642,137.78,13.66,137.97,0.037428,0,0.037428,0,0.71493,7.2208,32.9,-106,9.7954,7.5829,0,0,0,1243.6,107.56,0.1866,0.0087398,NaN,67.05,NaN,0.040794,901877,184.04,0.29894,0.46447,0.52291,0.3145,0.029757,0.12022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0016737,7.874,48.695,87,0,NaN,14.67,1007.3,340.19,2e-3,0.036748
0.112,0.74172,13.917,138.42,13.936,138.61,0.038872,0,0.038872,0,0.72937,7.2545,32.9,-106,9.7954,7.4435,0,0,0,1243.4,107.36,0.18659,0.0087398,NaN,67.047,NaN,0.041599,919680,184.82,0.30987,0.46449,0.52124,0.3145,0.029767,0.12022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0017075,7.874,48.695,87,0,NaN,14.67,1007.3,340.19,2e-3,0.037208
0.114,0.76983,14.194,139.07,14.214,139.26,0.040345,0,0.040345,0,0.74388,7.2883,32.9,-106,9.7954,7.3088,0,0,0,1243.2,107.16,0.18659,0.0087397,NaN,67.045,NaN,0.042409,937571,185.6,0.32105,0.46451,0.51963,0.3145,0.029776,0.12023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0017415,7.874,48.695,87,0,NaN,14.67,1007.3,340.19,2e-3,0.037605
0.116,0.7985,14.472,139.71,14.492,139.9,0.041848,0,0.041848,0,0.75846,7.322,32.9,-106,9.7954,7.1784,0,0,0,1243,106.97,0.18658,0.0087397,NaN,67.042,NaN,0.043222,955550,186.39,0.33249,0.46452,0.51808,0.31449,0.029786,0.12024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0017756,7.874,48.695,87,0,NaN,14.67,1007.3,340.19,2e-3,0.038259
